merge_sort, 16000, 203272, 0.002428
Quick sort, 16000, 251105, 0.000791
iquick sort, 16000, 266031, 0.000603
Priority Queue sort, 16000, 387623, 0.001084
Bubble sort, 18000, 323982000, 0.417796
insertion_sort, 18000, 80753598, 0.033693
selection_sort, 18000, 162009000, 0.100431
shell_sort, 18000, 300405, 0.001570
merge_sort, 18000, 231923, 0.003225
Quick sort, 18000, 301430, 0.001070
iquick sort, 18000, 310869, 0.000826
Priority Queue sort, 18000, 443368, 0.001503
Bubble sort, 20000, 399980000, 0.523978
insertion_sort, 20000, 99634441, 0.041035
selection_sort, 20000, 200010000, 0.126190
shell_sort, 20000, 347469, 0.001579
merge_sort, 20000, 260809, 0.003397
Quick sort, 20000, 351644, 0.001133
iquick sort, 20000, 349786, 0.000860
Priority Queue sort, 20000, 498427, 0.001505
Bubble sort, 22000, 483978000, 0.643361
insertion_sort, 22000, 120547961, 0.049933
selection_sort, 22000, 242011000, 0.150505
shell_sort, 22000, 382329, 0.001751
merge_sort, 22000, 290081, 0.003654
Quick sort, 22000, 378569, 0.001110
iquick sort, 22000, 367872, 0.000894
Priority Queue sort, 22000, 554716, 0.001644
Bubble sort, 24000, 575976000, 0.752466
insertion_sort, 24000, 144269985, 0.059261
selection_sort, 24000, 288012000, 0.179106
shell_sort, 24000, 466880, 0.001824
merge_sort, 24000, 319349, 0.003821
Quick sort, 24000, 408597, 0.001191
iquick sort, 24000, 438316, 0.000988
Priority Queue sort, 24000, 611464, 0.001813
Bubble sort, 26000, 675974000, 0.888721
insertion_sort, 26000, 168932263, 0.068477
selection_sort, 26000, 338013000, 0.211762
shell_sort, 26000, 469505, 0.001868
merge_sort, 26000, 348924, 0.004243
Quick sort, 26000, 451892, 0.001214
iquick sort, 26000, 460985, 0.001098
Priority Queue sort, 26000, 668511, 0.001971
Bubble sort, 28000, 783972000, 1.031273
insertion_sort, 28000, 196555543, 0.080682
selection_sort, 28000, 392014000, 0.249873
shell_sort, 28000, 530073, 0.002095
merge_sort, 28000, 378695, 0.004537
Quick sort, 28000, 511769, 0.001349
iquick sort, 28000, 530693, 0.001163
Priority Queue sort, 28000, 726026, 0.002064
Bubble sort, 30000, 899970000, 1.201175
insertion_sort, 30000, 225049135, 0.094701
selection_sort, 30000, 450015000, 0.282825
shell_sort, 30000, 544439, 0.002246
merge_sort, 30000, 408590, 0.004755
Quick sort, 30000, 559564, 0.001491
iquick sort, 30000, 521232, 0.001199
Priority Queue sort, 30000, 783032, 0.002221
Bubble sort, 32000, 1023968000, 1.366837
insertion_sort, 32000, 254557643, 0.105064
selection_sort, 32000, 512016000, 0.322691
shell_sort, 32000, 829374, 0.002715
merge_sort, 32000, 438622, 0.005047
Quick sort, 32000, 577612, 0.001699
iquick sort, 32000, 577451, 0.001406
Priority Queue sort, 32000, 840586, 0.002520
Bubble sort, 34000, 1155966000, 1.562215
insertion_sort, 34000, 288867672, 0.131367
selection_sort, 34000, 578017000, 0.362536
shell_sort, 34000, 670882, 0.003578
merge_sort, 34000, 468933, 0.005925
Quick sort, 34000, 637106, 0.001680
iquick sort, 34000, 627734, 0.001428
Priority Queue sort, 34000, 898683, 0.002572
Bubble sort, 36000, 1295964000, 1.755107
insertion_sort, 36000, 324734285, 0.133315
selection_sort, 36000, 648018000, 0.399736
shell_sort, 36000, 685006, 0.002944
merge_sort, 36000, 499922, 0.006063
Quick sort, 36000, 649604, 0.001938
iquick sort, 36000, 638126, 0.001638
Priority Queue sort, 36000, 957972, 0.002892
Bubble sort, 38000, 1443962000, 1.941231
insertion_sort, 38000, 360224506, 0.147292
selection_sort, 38000, 722019000, 0.457308
shell_sort, 38000, 733477, 0.003070
merge_sort, 38000, 530722, 0.006436
Quick sort, 38000, 679520, 0.002089
iquick sort, 38000, 687347, 0.001775
Priority Queue sort, 38000, 1017328, 0.003007
Bubble sort, 40000, 1599960000, 2.153895
insertion_sort, 40000, 400424562, 0.165168
selection_sort, 40000, 800020000, 0.500048
shell_sort, 40000, 909360, 0.003230
merge_sort, 40000, 561772, 0.006712
Quick sort, 40000, 748511, 0.002119
iquick sort, 40000, 708326, 0.001652
Priority Queue sort, 40000, 1077281, 0.003125
Bubble sort, 42000, 1763958000, 2.398544
insertion_sort, 42000, 441657577, 0.185158
selection_sort, 42000, 882021000, 0.551969
shell_sort, 42000, 1073765, 0.003521
merge_sort, 42000, 592942, 0.007155
Quick sort, 42000, 783774, 0.002334
iquick sort, 42000, 794870, 0.001949
Priority Queue sort, 42000, 1137760, 0.003368
Bubble sort, 44000, 1935956000, 2.618583
insertion_sort, 44000, 482956695, 0.200912
selection_sort, 44000, 968022000, 0.597929
shell_sort, 44000, 942936, 0.003682
merge_sort, 44000, 624176, 0.007364
Quick sort, 44000, 835795, 0.002360
iquick sort, 44000, 803041, 0.001984
Priority Queue sort, 44000, 1198175, 0.003604
Bubble sort, 46000, 2115954000, 2.870082
insertion_sort, 46000, 528022506, 0.215250
selection_sort, 46000, 1058023000, 0.659575
shell_sort, 46000, 895207, 0.003829
merge_sort, 46000, 655337, 0.007675
Quick sort, 46000, 893857, 0.002544
iquick sort, 46000, 880354, 0.002189
Priority Queue sort, 46000, 1258822, 0.003905
Bubble sort, 48000, 2303952000, 3.137221
insertion_sort, 48000, 574537830, 0.234795
selection_sort, 48000, 1152024000, 0.709599
shell_sort, 48000, 1140276, 0.004158
merge_sort, 48000, 686587, 0.008048
Quick sort, 48000, 881068, 0.002780
iquick sort, 48000, 904799, 0.002253
Priority Queue sort, 48000, 1319327, 0.003866
Bubble sort, 50000, 2499950000, 3.420616
insertion_sort, 50000, 624450641, 0.259907
selection_sort, 50000, 1250025000, 0.769026
shell_sort, 50000, 1174526, 0.004736
merge_sort, 50000, 718200, 0.008529
Quick sort, 50000, 961004, 0.002643
iquick sort, 50000, 932245, 0.002219
Priority Queue sort, 50000, 1380434, 0.004030
